
### 📋 PERFIL AVANZADO: PARÁMETROS CLAVE

1.  [cite_start]**Volumen Mensual:** **1.100 - 1.300 Reps** (Mayor capacidad de trabajo)[cite: 10].
2.  [cite_start]**IMR Base:** **70% - 75%** (La carga promedio es considerablemente más alta que en intermedios)[cite: 11].
3.  [cite_start]**Estructura:** **$2\times1$ (Choque)** predominante en fases específicas para forzar adaptación, mezclado con $3\times1$ en la base[cite: 11, 22].
4.  [cite_start]**Jerarquía de Slots:** 1. Arranque $\rightarrow$ 2. Envión $\rightarrow$ 3. Fuerza[cite: 222].

---

### 🟢 MES 1: ACUMULACIÓN (Volumen Alto | IMR 70-72%)
**Objetivo:** Fatiga controlada y acondicionamiento específico.
**Estructura:** $3\times1$ (3 Semanas carga, 1 descarga).

#### SEMANA 1 (Base - IMR 70%)
| DÍA | TIPO | SLOT 1 (ARRANQUE) | SLOT 2 (ENVIÓN) | SLOT 3 (FUERZA) |
| **9** | **TEC** | **Drop Snatch:** 5x3 @ 50% | **Sots Press:** 5x3 (Barra) | **Good Mornings:** 3x8 |
| **10** | **INT** | **Snatch:** 1x2 @ 82% | **Clean & Jerk:** 1x2 @ 82% | **Back Squat:** 3x3 @ 82% |

#### SEMANA 3 (Choque - IMR 72%)
| DÍA | TIPO | SLOT 1 (ARRANQUE) | SLOT 2 (ENVIÓN) | SLOT 3 (FUERZA) |
|:---:|:---|:---|:---|:---|
| **11** | **VOL** | **Snatch (No Feet):** 7x2 @ 80% | **C&J (1+2):** 6x(1+1) @ 80% | **Back Squat:** 6x4 @ 80% |
| **12** | **AUX** | **Muscle Snatch:** 5x3 @ 65% | **Power Clean + Push Press:** 5x(1+2) @ 75% | **Snatch Pull (Déficit):** 5x3 @ 100% |
| **13** | **MED** | **Power Snatch:** 5x2 @ 80% | **Power Clean + Jerk:** 5x(1+1) @ 80% | **Front Squat:** 4x3 @ 85% |
| **14** | **TEC** | **Snatch Balance:** 4x3 @ 60% | **Jerk Recovery:** 4x3 @ 70% | **Box Jumps:** 4x5 |
| **15** | **INT** | **Snatch:** 1x1 @ 85% | **Clean & Jerk:** 1x1 @ 85% | **Back Squat:** 3x2 @ 85% |

#### SEMANA 4 (Descarga Activa - IMR 65%)
| DÍA | TIPO | SLOT 1 (ARRANQUE) | SLOT 2 (ENVIÓN) | SLOT 3 (FUERZA) |
|:---:|:---|:---|:---|:---|
| **16** | **VOL** | **Hang Snatch:** 3x3 @ 60% | **Clean & Jerk:** 3x1 @ 60% | **Back Squat:** 3x5 @ 60% |
| **17** | **AUX** | **Muscle Snatch:** 3x3 @ 50% | **Muscle Clean:** 3x3 @ 50% | **Snatch Pull:** 3x3 @ 80% |
| **18** | **MED** | **Power Snatch:** 3x2 @ 65% | **Power Clean:** 3x1 @ 65% | **Front Squat:** 3x3 @ 65% |
| **19** | **TEC** | **Movilidad Torácica** | **Core Estático** | **Sin Carga** |
| **20** | **INT** | **Snatch:** 1x1 @ 75% | **Clean & Jerk:** 1x1 @ 75% | **Back Squat:** 2x2 @ 70% |

---

### 🟡 MES 2: FUERZA ESPECÍFICA (Intensidad Media/Alta)
**Objetivo:** Transferencia a Bloques y Variantes Complejas.
**Estructura:** $3\times1$ (Sube la IMR promedio a 73%).

#### SEMANA 5 (Base - IMR 72%)
| DÍA | TIPO | SLOT 1 (ARRANQUE) | SLOT 2 (ENVIÓN) | SLOT 3 (FUERZA) |
|:---:|:---|:---|:---|:---|
| **21** | **VOL** | **Snatch (Bloques):** 5x2 @ 80% | **Clean (Bloques)+Jerk:** 5x(1+1) @ 80% | **Back Squat:** 5x3 @ 85% |
| **22** | **AUX** | **Halting Snatch DL:** 4x3 @ 90% | **Push Jerk:** 4x3 @ 75% | **Pull:** 4x3 @ 100% |
| **23** | **MED** | **Power Snatch:** 4x2 @ 80% | **Power Clean:** 4x2 @ 80% | **Front Squat:** 4x3 @ 85% |
| **24** | **TEC** | **Snatch Balance:** 4x2 @ 70% | **Jerk Dip:** 4x3 @ 90% | **Saltos:** 3x5 |
| **25** | **INT** | **Snatch:** 1x1 @ 88% | **Clean & Jerk:** 1x1 @ 88% | **Clean Pull:** 3x3 @ 105% |

#### SEMANA 6 (Carga - IMR 74%)
| DÍA | TIPO | SLOT 1 (ARRANQUE) | SLOT 2 (ENVIÓN) | SLOT 3 (FUERZA) |
|:---:|:---|:---|:---|:---|
| **26** | **VOL** | **Snatch (Bloques):** 6x2 @ 82% | **Clean (Bloques)+Jerk:** 6x(1+1) @ 82% | **Back Squat:** 6x3 @ 87% |
| **27** | **AUX** | **Halting Snatch DL:** 5x3 @ 95% | **Push Jerk:** 5x3 @ 78% | **Pull:** 5x3 @ 105% |
| **28** | **MED** | **Power Snatch:** 5x2 @ 82% | **Power Clean:** 5x2 @ 82% | **Front Squat:** 5x2 @ 87% |
| **29** | **TEC** | **OHS (Rebote):** 4x3 @ 70% | **Jerk Drive:** 4x3 @ 95% | **Core Rotacional:** 3x15 |
| **30** | **INT** | **Snatch:** 1x1 @ 90% | **Clean & Jerk:** 1x1 @ 90% | **Clean Pull:** 3x2 @ 110% |

#### SEMANA 7 (Choque - IMR 75%)
| DÍA | TIPO | SLOT 1 (ARRANQUE) | SLOT 2 (ENVIÓN) | SLOT 3 (FUERZA) |
|:---:|:---|:---|:---|:---|
| **31** | **VOL** | **Snatch (Bloques):** 7x2 @ 85% | **Clean (Bloques)+Jerk:** 7x(1+1) @ 85% | **Back Squat:** 5x2 @ 90% |
| **32** | **AUX** | **Snatch High Pull:** 5x3 @ 90% | **Push Press:** 5x3 @ 80% | **Pull:** 4x2 @ 110% |
| **33** | **MED** | **Power Snatch:** 5x1 @ 85% | **Power Clean:** 5x1 @ 85% | **Front Squat:** 4x2 @ 90% |
| **34** | **TEC** | **Drop Snatch:** 3x3 @ 60% | **Jerk Recovery:** 3x2 @ 85% | **Pliometría:** 3x5 |
| **35** | **INT** | **Snatch:** 1x1 @ 92% | **Clean & Jerk:** 1x1 @ 92% | **Clean Pull:** 3x2 @ 115% |

#### SEMANA 8 (Descarga Activa - IMR 68%)
| DÍA | TIPO | SLOT 1 (ARRANQUE) | SLOT 2 (ENVIÓN) | SLOT 3 (FUERZA) |
|:---:|:---|:---|:---|:---|
| **36** | **VOL** | **Snatch:** 3x2 @ 70% | **Clean & Jerk:** 3x1 @ 70% | **Back Squat:** 3x3 @ 70% |
| **37** | **AUX** | **Muscle Snatch:** 3x3 @ 50% | **Push Press:** 3x3 @ 60% | **Hip Thrust:** 3x10 |
| **38** | **MED** | **Hang Snatch:** 3x2 @ 65% | **Hang Clean:** 3x1 @ 65% | **Front Squat:** 2x2 @ 70% |
| **39** | **TEC** | **Movilidad Cadera** | **Press Estricto:** 3x5 | **Sin Pierna** |
| **40** | **INT** | **Snatch:** 1x1 @ 75% | **Clean & Jerk:** 1x1 @ 75% | **Back Squat:** 2x2 @ 75% |

---

### 🔴 MES 3: INTENSIFICACIÓN ($2\times1$ PURO)
**Objetivo:** Potencia Máxima. Series de 1 rep (Singles).
**Estructura:** Semana 9 y 10 (Carga/Choque), Semana 11 (Descarga), Semana 12 (Pre-Comp).

#### SEMANA 9 (Carga - IMR 76%)
| DÍA | TIPO | SLOT 1 (ARRANQUE) | SLOT 2 (ENVIÓN) | SLOT 3 (FUERZA) |
|:---:|:---|:---|:---|:---|
| **41** | **VOL** | **Snatch:** 7x1 @ 85% | **Clean & Jerk:** 6x1 @ 85% | **Back Squat:** 5x2 @ 88% |
| **42** | **AUX** | **Power Snatch:** 4x2 @ 80% | **Jerk from Rack:** 4x2 @ 85% | **Snatch Pull:** 4x2 @ 105% |
| **43** | **MED** | **Snatch:** 5x1 @ 88% | **Clean & Jerk:** 4x1 @ 88% | **Front Squat:** 3x2 @ 90% |
| **44** | **TEC** | **Tall Snatch:** 4x3 @ 50% | **Jerk Support:** 3x3 @ 90% | **Core:** 3x20 |
| **45** | **INT** | **Snatch:** 1x1 @ 93% | **Clean & Jerk:** 1x1 @ 93% | **Back Squat:** 2x1 @ 92% |

#### SEMANA 10 (Choque - IMR 78%)
| DÍA | TIPO | SLOT 1 (ARRANQUE) | SLOT 2 (ENVIÓN) | SLOT 3 (FUERZA) |
|:---:|:---|:---|:---|:---|
| **46** | **VOL** | **Snatch:** 8x1 @ 88% | **Clean & Jerk:** 7x1 @ 88% | **Back Squat:** 4x2 @ 90% |
| **47** | **AUX** | **Power Snatch:** 4x1 @ 85% | **Jerk from Rack:** 5x1 @ 90% | **Snatch Pull:** 3x2 @ 110% |
| **48** | **MED** | **Snatch:** 5x1 @ 90% | **Clean & Jerk:** 5x1 @ 90% | **Front Squat:** 3x1 @ 93% |
| **49** | **TEC** | **Snatch Balance:** 3x1 @ 80% | **Jerk Recovery:** 3x1 @ 90% | **Isométricos** |
| **50** | **INT** | **Snatch:** 1x1 @ 95% | **Clean & Jerk:** 1x1 @ 95% | **Back Squat:** 1x1 @ 95% |

#### SEMANA 11 (Descarga Profunda - IMR 70%)
| DÍA | TIPO | SLOT 1 (ARRANQUE) | SLOT 2 (ENVIÓN) | SLOT 3 (FUERZA) |
|:---:|:---|:---|:---|:---|
| **51** | **VOL** | **Snatch:** 4x1 @ 75% | **Clean & Jerk:** 3x1 @ 75% | **Back Squat:** 3x2 @ 75% |
| **52** | **AUX** | **Muscle Snatch:** 3x2 @ 50% | **Push Press:** 3x3 @ 60% | **Pull:** 3x2 @ 85% |
| **53** | **MED** | **Power Snatch:** 3x1 @ 75% | **Power Clean:** 2x1 @ 75% | **Front Squat:** 2x2 @ 75% |
| **54** | **TEC** | **Movilidad** | **Barra Técnica** | **Sin Carga** |
| **55** | **INT** | **Snatch:** 1x1 @ 80% | **Clean & Jerk:** 1x1 @ 80% | **Sin Sentadilla** |

#### SEMANA 12 (Re-Activación)
| DÍA | TIPO | SLOT 1 (ARRANQUE) | SLOT 2 (ENVIÓN) | SLOT 3 (FUERZA) |
|:---:|:---|:---|:---|:---|
| **56** | **VOL** | **Snatch:** 5x1 @ 82% | **Clean & Jerk:** 4x1 @ 82% | **Back Squat:** 3x2 @ 85% |
| **57** | **AUX** | **Power Snatch:** 3x2 @ 75% | **Jerk Rack:** 3x2 @ 80% | **Pull:** 3x2 @ 100% |
| **58** | **MED** | **Snatch:** 4x1 @ 85% | **Clean & Jerk:** 3x1 @ 85% | **Front Squat:** 2x2 @ 85% |
| **59** | **TEC** | **Tall Snatch:** 3x3 | **Movilidad** | **Core** |
| **60** | **INT** | **Snatch:** 1x1 @ 90% | **Clean & Jerk:** 1x1 @ 90% | **Back Squat:** 1x1 @ 90% |

---

### 🟣 MES 4: REALIZACIÓN (TAPERING AVANZADO)
**Objetivo:** Disipar fatiga acumulada manteniendo la intensidad neural.

#### SEMANA 13 (Carga Pre-Competitiva - IMR 80%)
| DÍA | TIPO | SLOT 1 (ARRANQUE) | SLOT 2 (ENVIÓN) | SLOT 3 (FUERZA) |
|:---:|:---|:---|:---|:---|
| **61** | **VOL** | **Snatch:** 5x1 @ 85% | **Clean & Jerk:** 4x1 @ 85% | **Back Squat:** 3x2 @ 88% |
| **62** | **AUX** | **Power Clean:** 3x1 @ 80% | **Jerk Support:** 3x2 @ 95% | **Pull:** 3x1 @ 105% |
| **63** | **MED** | **Snatch:** 3x1 @ 90% | **Clean & Jerk:** 2x1 @ 90% | **Front Squat:** 2x1 @ 90% |
| **64** | **TEC** | **Barra (Velocidad)** | **Core** | **Movilidad** |
| **65** | **INT** | **Snatch:** 1x1 @ 95% | **Clean & Jerk:** 1x1 @ 95% | **Squat:** 1x1 @ 92% |

#### SEMANA 14 (Ondulación 1)
| DÍA | TIPO | SLOT 1 (ARRANQUE) | SLOT 2 (ENVIÓN) | SLOT 3 (FUERZA) |
|:---:|:---|:---|:---|:---|
| **66** | **VOL** | **Snatch:** 4x1 @ 88% | **Clean & Jerk:** 3x1 @ 88% | **Back Squat:** 2x2 @ 85% |
| **67** | **AUX** | **Power Snatch:** 3x1 @ 80% | **Jerk Rack:** 2x1 @ 85% | **Pull:** 2x1 @ 95% |
| **68** | **MED** | **Snatch:** 2x1 @ 92% | **Clean & Jerk:** 1x1 @ 92% | **Front Squat:** 1x1 @ 85% |
| **69** | **TEC** | **Muscle Snatch:** 3x2 (Ligero) | **Activación** | **Estiramientos** |
| **70** | **INT** | **Snatch:** 1x1 @ 96-97% | **C&J:** 1x1 @ 96-97% | **Squat:** 1x1 @ 90% |

#### SEMANA 15 (Afilado / Taper)
| DÍA | TIPO | SLOT 1 (ARRANQUE) | SLOT 2 (ENVIÓN) | SLOT 3 (FUERZA) |
|:---:|:---|:---|:---|:---|
| **71** | **VOL** | **Snatch:** 3x1 @ 80% | **Clean & Jerk:** 2x1 @ 80% | **Back Squat:** 2x1 @ 75% |
| **72** | **AUX** | **Power Snatch:** 2x1 @ 70% | **Power Clean:** 2x1 @ 70% | **Movilidad** |
| **73** | **MED** | **Snatch:** 2x1 @ 75% | **Clean & Jerk:** 1x1 @ 75% | **Front Squat:** 1x1 @ 70% |
| **74** | **TEC** | **Barra Técnica** | **Shadow Lifting** | **Core** |
| **75** | **INT** | **Snatch:** 1x1 @ 80% | **C&J:** 1x1 @ 80% | **Saltos:** 2x3 |

#### SEMANA 16 (SEMANA DE TEST)
| DÍA | TIPO | SLOT 1 (ARRANQUE) | SLOT 2 (ENVIÓN) | SLOT 3 (ACT/FUERZA) |
|:---:|:---|:---|:---|:---|
| **76** | **ACT** | **Snatch:** 3x2 @ 50% | **C&J:** 3x1 @ 50% | **Back Squat:** 3x2 @ 50% |
| **77** | **ACT** | **Power Snatch:** 3x1 @ 60% | **Power Clean:** 2x1 @ 60% | **Front Squat:** 2x1 @ 50% |
| **78** | **TEC** | **Muscle Snatch:** 3x3 (Barra) | **Muscle Clean:** 3x3 (Barra) | **Movilidad Activa** |
| **79** | **MOV** | **Barra Vacía:** 15 min | **Velocidad** (Sin peso) | **Activación Glúteo** |
| **80** | **TEST** | **TEST SNATCH (1RM)** | **TEST C&J (1RM)** | **TEST SQUAT (1RM)** |
