
### 📋 RECOMENDACIÓN DE DOBLE TURNO
Para este macrociclo, recomiendo **2 DÍAS DE DOBLE TURNO** por semana.
* **Total Sesiones:** 7 Unidades de Entrenamiento (5 días calendario).
* **Distribución:** Lunes (Doble), Miércoles (Doble), Martes/Jueves/Viernes (Simple).
* **Regla de Oro del Doble Turno:** **UN SOLO GESTO TÉCNICO POR SESIÓN**.
    * *Ejemplo:* Mañana solo Arranque + Fuerza. Tarde solo Envión + Tracción. Esto garantiza calidad neural máxima.

---

### 🟢 MES 1: ACUMULACIÓN (Volumen Alto | IMR 72%)
**Objetivo:** Capacidad de trabajo y resistencia a la fuerza. Series de 3 repeticiones.

#### SEMANA 1 (Base)
| DÍA | TURNO | SLOT 1 (ARRANQUE) | SLOT 2 (ENVIÓN) | SLOT 3 (FUERZA/ACC) |
| **LUN** | **PM** | --- | **C&J (Block):** 5x(1+1) @ 80% | **Clean Pull:** 5x3 @ 105% |
| **MAR** | **UNICO**| **No-Foot Snatch:** 5x2 @ 75% | **Push Jerk:** 5x3 @ 75% | **Hip Thrust:** 3x10 |
| **MIE** | **AM** | --- | **Power Clean:** 5x2 @ 78% | **Front Squat:** 5x3 @ 85% |
| **MIE** | **PM** | **Power Snatch:** 5x2 @ 78% | --- | **Jerk Drive:** 5x3 @ 90% |
| **JUE** | **UNICO**| **OHS (Rebote):** 4x3 @ 70% | **Tall Jerk:** 4x3 @ 40% | **Core Rotacional** |
| **VIE** | **UNICO**| **Snatch:** 1x1 @ 88% | **Clean & Jerk:** 1x1 @ 88% | **Clean DL:** 3x2 @ 110% |

#### SEMANA 7 (Impacto)
| DÍA | TURNO | SLOT 1 (ARRANQUE) | SLOT 2 (ENVIÓN) | SLOT 3 (FUERZA/ACC) |
|:---:|:---:|:---|:---|:---|
| **LUN** | **AM** | **Snatch (Block):** 7x2 @ 82% | --- | **Back Squat:** 6x2 @ 85% |
| **LUN** | **PM** | --- | **C&J (Block):** 6x(1+1) @ 82% | **Clean Pull:** 5x2 @ 110% |
| **MAR** | **UNICO**| **No-Foot Snatch:** 5x2 @ 78% | **Push Jerk:** 5x2 @ 80% | **Good Mornings:** 3x8 |
| **MIE** | **AM** | --- | **Power Clean:** 5x2 @ 80% | **Front Squat:** 4x2 @ 88% |
| **MIE** | **PM** | **Power Snatch:** 5x2 @ 80% | --- | **Jerk Drive:** 4x2 @ 95% |
| **JUE** | **UNICO**| **Snatch Balance:** 3x2 @ 75% | **Jerk Recovery:** 3x2 @ 85% | **Saltos Cajón:** 3x5 |
| **VIE** | **UNICO**| **Snatch:** 1x1 @ 90% | **Clean & Jerk:** 1x1 @ 90% | **Clean DL:** 3x2 @ 115% |

#### SEMANA 8 (Descarga Activa - IMR 68%)
| DÍA | TURNO | SLOT 1 (ARRANQUE) | SLOT 2 (ENVIÓN) | SLOT 3 (FUERZA/ACC) |
|:---:|:---:|:---|:---|:---|
| **LUN** | **AM** | **Snatch (Block):** 3x2 @ 65% | --- | **Back Squat:** 3x3 @ 65% |
| **LUN** | **PM** | --- | **C&J (Block):** 3x1 @ 65% | **Pull:** 3x2 @ 80% |
| **MAR** | **UNICO**| **Hang Snatch:** 3x2 @ 60% | **Hang Clean:** 3x2 @ 60% | **Sin Pierna** |
| **MIE** | **AM** | --- | **Power Clean:** 3x2 @ 60% | **Front Squat:** 2x2 @ 65% |
| **MIE** | **PM** | **Power Snatch:** 3x2 @ 60% | --- | **Push Press:** 3x3 @ 60% |
| **JUE** | **UNICO**| **Movilidad** | **Estiramientos** | **Core** |
| **VIE** | **UNICO**| **Snatch:** 1x1 @ 80% | **Clean & Jerk:** 1x1 @ 80% | **Back Squat:** 2x1 @ 75% |

---

### 🔴 MES 3: INTENSIFICACIÓN (CHOQUE $2\times1$)
**Objetivo:** Potencia Máxima. Series de 1 rep (Singles). Competidor busca 95%+.

#### SEMANA 9 (Carga - IMR 76%)
| DÍA | TURNO | SLOT 1 (ARRANQUE) | SLOT 2 (ENVIÓN) | SLOT 3 (FUERZA/ACC) |
|:---:|:---:|:---|:---|:---|
| **LUN** | **AM** | **Snatch:** 6x1 @ 85% | --- | **Back Squat:** 5x2 @ 88% |
| **LUN** | **PM** | --- | **C&J:** 5x1 @ 85% | **Snatch Pull:** 4x2 @ 105% |
| **MAR** | **UNICO**| **Power Snatch:** 4x2 @ 80% | **Jerk from Rack:** 4x2 @ 85% | **Remo Pendlay:** 3x8 |
| **MIE** | **AM** | --- | **Clean & Jerk:** 4x1 @ 88% | **Front Squat:** 3x2 @ 90% |
| **MIE** | **PM** | **Snatch:** 4x1 @ 88% | --- | **Jerk Support:** 3x3 @ 90% |
| **JUE** | **UNICO**| **Tall Snatch:** 4x3 @ 50% | **Drop Snatch:** 3x3 @ 60% | **Core Isométrico** |
| **VIE** | **UNICO**| **Snatch:** 1x1 @ 93% | **Clean & Jerk:** 1x1 @ 93% | **Back Squat:** 2x1 @ 92% |

#### SEMANA 10 (Choque - IMR 78%)
| DÍA | TURNO | SLOT 1 (ARRANQUE) | SLOT 2 (ENVIÓN) | SLOT 3 (FUERZA/ACC) |
|:---:|:---:|:---|:---|:---|
| **LUN** | **AM** | **Snatch:** 8x1 @ 88% | --- | **Back Squat:** 4x2 @ 90% |
| **LUN** | **PM** | --- | **C&J:** 7x1 @ 88% | **Snatch Pull:** 3x2 @ 110% |
| **MAR** | **UNICO**| **Power Snatch:** 4x1 @ 85% | **Jerk from Rack:** 4x1 @ 90% | **Isométricos** |
| **MIE** | **AM** | --- | **Clean & Jerk:** 5x1 @ 90% | **Front Squat:** 2x1 @ 93% |
| **MIE** | **PM** | **Snatch:** 5x1 @ 90% | --- | **Jerk Support:** 3x2 @ 95% |
| **JUE** | **UNICO**| **Snatch Balance:** 3x1 @ 80% | **Jerk Recovery:** 3x1 @ 90% | **Saltos** |
| **VIE** | **UNICO**| **Snatch:** 1x1 @ 95% | **Clean & Jerk:** 1x1 @ 95% | **Back Squat:** 1x1 @ 95% |

#### SEMANA 11 (Descarga Profunda - IMR 70%)
| DÍA | TURNO | SLOT 1 (ARRANQUE) | SLOT 2 (ENVIÓN) | SLOT 3 (FUERZA/ACC) |
|:---:|:---:|:---|:---|:---|
| **LUN** | **AM** | **Snatch:** 4x1 @ 75% | --- | **Back Squat:** 3x2 @ 75% |
| **LUN** | **PM** | --- | **C&J:** 3x1 @ 75% | **Pull:** 3x2 @ 85% |
| **MAR** | **UNICO**| **Muscle Snatch:** 3x2 @ 50% | **Muscle Clean:** 3x2 @ 50% | **Sin Carga** |
| **MIE** | **AM** | --- | **Power Clean:** 2x1 @ 75% | **Front Squat:** 2x2 @ 75% |
| **MIE** | **PM** | **Power Snatch:** 2x1 @ 75% | --- | **Push Press:** 3x3 @ 60% |
| **JUE** | **UNICO**| **Movilidad** | **Técnica Barra** | **Core** |
| **VIE** | **UNICO**| **Snatch:** 1x1 @ 80% | **Clean & Jerk:** 1x1 @ 80% | **Sin Sentadilla** |

#### SEMANA 12 (Re-Activación - IMR 76%)
| DÍA | TURNO | SLOT 1 (ARRANQUE) | SLOT 2 (ENVIÓN) | SLOT 3 (FUERZA/ACC) |
|:---:|:---:|:---|:---|:---|
| **LUN** | **AM** | **Snatch:** 5x1 @ 82% | --- | **Back Squat:** 3x2 @ 85% |
| **LUN** | **PM** | --- | **C&J:** 4x1 @ 82% | **Pull:** 3x2 @ 100% |
| **MAR** | **UNICO**| **Power Snatch:** 3x1 @ 80% | **Jerk Rack:** 3x1 @ 85% | **Movilidad** |
| **MIE** | **AM** | --- | **Clean & Jerk:** 3x1 @ 85% | **Front Squat:** 2x2 @ 85% |
| **MIE** | **PM** | **Snatch:** 3x1 @ 85% | --- | **Jerk Support:** 3x2 @ 90% |
| **JUE** | **UNICO**| **Tall Snatch:** 3x2 | **Tall Clean:** 3x2 | **Core** |
| **VIE** | **UNICO**| **Snatch:** 1x1 @ 90% | **Clean & Jerk:** 1x1 @ 90% | **Back Squat:** 1x1 @ 90% |

---

### 🟣 MES 4: COMPETENCIA (PEAKING)
**Objetivo:** Simulación de competencia y Puesta a Punto.

#### SEMANA 13 (Carga Pre-Comp - IMR 80%)
| DÍA | TURNO | SLOT 1 (ARRANQUE) | SLOT 2 (ENVIÓN) | SLOT 3 (FUERZA/ACC) |
|:---:|:---:|:---|:---|:---|
| **LUN** | **AM** | **Snatch:** 4x1 @ 85% | --- | **Back Squat:** 3x2 @ 88% |
| **LUN** | **PM** | --- | **C&J:** 3x1 @ 85% | **Pull:** 3x1 @ 105% |
| **MAR** | **UNICO**| **Power Clean:** 3x1 @ 80% | **Jerk Support:** 3x2 @ 95% | **Estiramientos** |
| **MIE** | **AM** | --- | **Clean & Jerk:** 2x1 @ 90% | **Front Squat:** 2x1 @ 90% |
| **MIE** | **PM** | **Snatch:** 2x1 @ 90% | --- | **Movilidad** |
| **JUE** | **UNICO**| **Barra (Velocidad)** | **Shadow Lifting** | **Core** |
| **VIE** | **UNICO**| **Snatch:** 1x1 @ 95% | **Clean & Jerk:** 1x1 @ 95% | **Squat:** 1x1 @ 92% |

#### SEMANA 14 (Ondulación - IMR 82%)
| DÍA | TURNO | SLOT 1 (ARRANQUE) | SLOT 2 (ENVIÓN) | SLOT 3 (FUERZA/ACC) |
|:---:|:---:|:---|:---|:---|
| **LUN** | **AM** | **Snatch:** 3x1 @ 88% | --- | **Back Squat:** 2x2 @ 85% |
| **LUN** | **PM** | --- | **C&J:** 2x1 @ 88% | **Pull:** 2x1 @ 95% |
| **MAR** | **UNICO**| **Power Snatch:** 2x1 @ 80% | **Jerk Rack:** 2x1 @ 85% | **Sin Carga** |
| **MIE** | **AM** | --- | **Clean & Jerk:** 1x1 @ 92% | **Front Squat:** 1x1 @ 85% |
| **MIE** | **PM** | **Snatch:** 1x1 @ 92% | --- | **Estiramientos** |
| **JUE** | **UNICO**| **Muscle Snatch:** 3x2 (Ligero) | **Activación** | **Visualización** |
| **VIE** | **UNICO**| **Snatch:** 1x1 @ 96-97% | **C&J:** 1x1 @ 96-97% | **Squat:** 1x1 @ 90% |

#### SEMANA 15 (Taper / Afilado)
*Se eliminan los Doble Turnos para recuperar el SNC.*
| DÍA | TURNO | SLOT 1 (ARRANQUE) | SLOT 2 (ENVIÓN) | SLOT 3 (FUERZA/ACC) |
|:---:|:---:|:---|:---|:---|
| **LUN** | **UNICO**| **Snatch:** 3x1 @ 80% | **Clean & Jerk:** 2x1 @ 80% | **Back Squat:** 2x1 @ 75% |
| **MAR** | **UNICO**| **Power Snatch:** 2x1 @ 70% | **Power Clean:** 2x1 @ 70% | **Movilidad** |
| **MIE** | **UNICO**| **Snatch:** 2x1 @ 75% | **Clean & Jerk:** 1x1 @ 75% | **Front Squat:** 1x1 @ 70% |
| **JUE** | **UNICO**| **Barra Técnica** | **Shadow Lifting** | **Core** |
| **VIE** | **UNICO**| **Snatch:** 1x1 @ 80% | **C&J:** 1x1 @ 80% | **Saltos:** 2x3 |

#### SEMANA 16 (SEMANA DE COMPETENCIA)
| DÍA | TURNO | SLOT 1 (ARRANQUE) | SLOT 2 (ENVIÓN) | SLOT 3 (FUERZA/ACC) |
|:---:|:---:|:---|:---|:---|
| **LUN** | **UNICO**| **Snatch:** 3x2 @ 50% | **C&J:** 3x1 @ 50% | **Back Squat:** 3x2 @ 50% |
| **MAR** | **UNICO**| **Power Snatch:** 3x1 @ 60% | **Power Clean:** 2x1 @ 60% | **Front Squat:** 2x1 @ 50% |
| **MIE** | **UNICO**| **Muscle Snatch:** 3x3 (Barra) | **Muscle Clean:** 3x3 (Barra) | **Movilidad Activa** |
| **JUE** | **UNICO**| **Barra Vacía:** 15 min | **Velocidad** (Sin peso) | **Activación Glúteo** |
| **VIE** | **TEST** | **COMP SNATCH (1RM)** | **COMP C&J (1RM)** | **COMP SQUAT (1RM)** |
